Ticket,Open Time,Type,Volume,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
50351017,2017.04.07 15:48:43,buy,0.1,gbpusd,1.24141,0,1.24276,2017.04.07 18:24:44,1.24107,-0.7,0,0,-3.4
50351019,2017.04.07 15:48:51,buy,0.1,eurusd,1.06255,0,0,2017.04.07 16:41:19,1.0625,-0.7,0,0,-0.5
50351040,2017.04.07 15:54:40,buy,0.1,gbpusd,1.23896,0,1.24277,2017.04.07 18:24:30,1.24097,-0.7,0,0,20.1
50351042,2017.04.07 15:54:47,buy,0.1,gbpusd,1.23907,0,1.24277,2017.04.07 18:24:28,1.24097,-0.7,0,0,19
50351044,2017.04.07 15:54:57,buy,0.1,gbpusd,1.23941,0,1.24278,2017.04.07 18:24:25,1.24099,-0.7,0,0,15.8
50351053,2017.04.07 16:05:50,buy,0.1,gbpusd,1.23887,0,1.24328,2017.04.07 18:24:20,1.24098,-0.7,0,0,21.1
50351075,2017.04.07 16:41:24,buy,0.1,gbpusd,1.23966,0,1.24278,2017.04.07 18:24:32,1.24097,-0.7,0,0,13.1
50351088,2017.04.07 17:18:52,buy,0.1,gbpusd,1.23979,0,1.24277,2017.04.07 18:24:23,1.24099,-0.7,0,0,12
50351101,2017.04.07 18:07:39,buy,0.1,gbpusd,1.24004,0,0,2017.04.07 18:24:34,1.24099,-0.7,0,0,9.5
50351395,2017.04.10 19:03:18,buy,0.1,usdjpy,110.957,0,0,2017.04.10 19:51:44,110.963,-0.7,0,0,0.54
50351397,2017.04.10 19:03:30,buy,0.1,eurjpy,117.673,0,0,2017.04.10 22:50:08,117.533,-0.7,0,0,-12.62
50351399,2017.04.10 19:06:27,buy,0.1,eurjpy,117.667,0,0,2017.04.10 22:50:04,117.535,-0.7,0,0,-11.9
50351401,2017.04.10 19:10:32,buy,0.1,eurjpy,117.575,0,0,2017.04.10 19:51:41,117.646,-0.7,0,0,6.4
50351403,2017.04.10 19:10:38,buy,0.1,usdjpy,110.868,0,0,2017.04.10 19:50:44,110.945,-0.7,0,0,6.94
50351405,2017.04.10 19:10:42,buy,0.1,usdjpy,110.87,0,0,2017.04.10 19:50:41,110.944,-0.7,0,0,6.67
50351407,2017.04.10 19:12:05,buy,0.1,usdjpy,110.839,0,0,2017.04.10 19:50:34,110.944,-0.7,0,0,9.46
50351410,2017.04.10 19:12:13,buy,0.1,usdjpy,110.83,0,0,2017.04.10 19:50:14,110.943,-0.7,0,0,10.19
50351412,2017.04.10 19:12:52,buy,0.1,eurjpy,117.534,0,0,2017.04.10 19:51:31,117.639,-0.7,0,0,9.46
50351416,2017.04.10 19:21:57,buy,0.1,usdjpy,110.845,0,0,2017.04.10 19:50:37,110.944,-0.7,0,0,8.92
50351427,2017.04.10 20:11:14,buy,0.1,eurjpy,117.57,0,0,2017.04.10 22:50:11,117.526,-0.7,0,0,-3.96
50351429,2017.04.10 20:11:34,buy,0.1,eurjpy,117.573,0,0,2017.04.10 22:50:02,117.528,-0.7,0,0,-4.06
50351645,2017.04.11 12:20:29,sell,0.1,usdjpy,110.648,0,0,2017.04.11 13:14:25,110.633,-0.7,0,0,1.36
50353125,2017.04.11 16:39:54,sell,0.1,usdjpy,110.323,0,0,2017.04.11 17:52:25,109.891,-0.7,0,0,39.31
50353127,2017.04.11 16:41:32,sell,0.1,usdcad,1.33414,0,0,2017.04.11 18:04:35,1.33407,-0.7,0,0,0.52
50353137,2017.04.11 16:46:11,sell,0.1,usdjpy,110.215,0,0,2017.04.11 17:52:20,109.908,-0.7,0,0,27.93
50353143,2017.04.11 16:47:09,sell,0.1,usdjpy,110.215,0,0,2017.04.11 17:52:15,109.933,-0.7,0,0,25.65
50353147,2017.04.11 16:48:18,sell,0.1,usdjpy,110.236,0,0,2017.04.11 17:52:22,109.897,-0.7,0,0,30.85
50353152,2017.04.11 16:48:59,sell,0.1,usdjpy,110.256,0,0,2017.04.11 17:52:10,109.935,-0.7,0,0,29.2
50353155,2017.04.11 16:50:58,sell,0.1,usdjpy,110.251,0,0,2017.04.11 17:52:08,109.934,-0.7,0,0,28.84
50353159,2017.04.11 16:52:21,sell,0.1,usdjpy,110.275,0,0,2017.04.11 17:52:06,109.94,-0.7,0,0,30.47
50353163,2017.04.11 16:52:46,sell,0.1,usdjpy,110.306,0,0,2017.04.11 17:52:03,109.949,-0.7,0,0,32.47
50353167,2017.04.11 16:53:52,sell,0.1,usdjpy,110.297,0,0,2017.04.11 17:52:02,109.912,-0.7,0,0,35.03
50353182,2017.04.11 17:05:30,sell,0.1,usdjpy,110.336,0,0,2017.04.11 17:51:59,109.899,-0.7,0,0,39.76
50353184,2017.04.11 17:06:21,sell,0.1,usdjpy,110.352,0,0,2017.04.11 17:51:53,109.991,-0.7,0,0,32.82
50353205,2017.04.11 17:23:15,sell,0.1,usdjpy,110.179,0,0,2017.04.11 17:51:56,109.93,-0.7,0,0,22.65
50353207,2017.04.11 17:23:35,sell,0.1,usdjpy,110.163,0,0,2017.04.11 17:52:12,109.934,-0.7,0,0,20.83
50353215,2017.04.11 17:31:43,sell,0.1,usdjpy,110.14,0,0,2017.04.11 17:52:28,109.892,-0.7,0,0,22.57
50353259,2017.04.11 17:57:26,buy,0.1,usdjpy,109.789,0,0,2017.04.11 18:04:42,109.797,-0.7,0,0,0.73
50353263,2017.04.11 17:57:37,buy,0.1,usdjpy,109.707,0,0,2017.04.11 18:04:31,109.806,-0.7,0,0,9.02
50353271,2017.04.11 17:58:18,buy,0.1,usdjpy,109.692,0,0,2017.04.11 18:04:27,109.803,-0.7,0,0,10.11
50353279,2017.04.11 17:58:59,buy,0.1,usdjpy,109.713,0,0,2017.04.11 18:04:38,109.803,-0.7,0,0,8.2
50353295,2017.04.11 18:09:49,buy,0.1,usdjpy,109.749,0,0,2017.04.11 19:21:15,109.811,-0.7,0,0,5.65
50353312,2017.04.11 18:16:08,buy,0.1,usdjpy,109.67,0,0,2017.04.11 19:21:13,109.809,-0.7,0,0,12.66
50354026,2017.04.11 18:37:38,buy,0.1,usdjpy,109.769,0,0,2017.04.11 19:21:17,109.808,-0.7,0,0,3.55
50354226,2017.04.12 12:59:49,sell,0.1,usdcad,1.33234,1.33403,0,2017.04.12 17:02:13,1.32884,-0.7,0,0,26.34
50354228,2017.04.12 13:00:26,sell,0.1,usdcad,1.3324,1.33406,0,2017.04.12 17:00:26,1.32754,-0.7,0,0,36.61
50354246,2017.04.12 13:15:42,sell,0.1,usdcad,1.33264,1.33403,0,2017.04.12 17:00:17,1.32797,-0.7,0,0,35.17
50354279,2017.04.12 14:38:49,sell,0.1,usdcad,1.33324,1.33404,0,2017.04.12 17:00:19,1.32816,-0.7,0,0,38.25
50354281,2017.04.12 14:39:07,sell,0.1,usdcad,1.33317,1.33402,0,2017.04.12 17:00:21,1.32804,-0.7,0,0,38.63
50354290,2017.04.12 14:57:13,sell,0.1,usdcad,1.33252,1.33398,0,2017.04.12 17:00:23,1.32772,-0.7,0,0,36.15
50354296,2017.04.12 15:05:01,sell,0.1,usdcad,1.33154,1.33399,0,2017.04.12 17:02:10,1.32855,-0.7,0,0,22.51
50354298,2017.04.12 15:05:34,sell,0.1,usdcad,1.3315,1.33414,0,2017.04.12 17:00:28,1.32752,-0.7,0,0,29.98
